Formula              ✕,Band gap              ✕,Cond. band minimum              ✕,Val. band maximum              ✕,Work function (avg. if finite dipole)              ✕
Al2Cl6,5.487,0.428,-5.06,5.218
Co2Cl6,0.01,-4.1,-4.111,6.707
In2I6,0.657,-2.318,-2.975,5.526
Sc2Cl6,3.233,-2.067,-5.301,6.185
Tl2I6,0.092,-3.004,-3.096,5.893
W2I6,0.705,-0.698,-1.403,4.368
Zr2O6,3.586,0.563,-3.024,5.872
HfZr3Te8,0.213,-0.981,-1.195,5.251
Cr3WTe8,0.443,0.329,-0.113,4.482
Al2Cl2S2,2.334,-0.19,-2.524,4.815
AsClS,1.535,-1.873,-3.408,5.714
AsISe,0.446,-0.702,-1.148,4.729
Bi2Cl2Se2,0.636,-2.66,-3.296,6.49
BiISe,0.433,-1.563,-1.996,5.552
Pt2Br2N2,0.118,-1.018,-1.136,5.244
Sc2Br2S2,2.13,-1.048,-3.178,5.616
Cr2Cl2O2,0.647,-1.513,-2.16,5.547
In2Cl2S2,1.797,-1.472,-3.27,5.833
ClSbTe,1.255,-1.683,-2.938,5.399
Ga2I2O2,1.001,0.044,-0.957,4.665
In2I2O2,1.191,-0.277,-1.468,5.133
ISSb,0.794,-1.021,-1.815,5.211
Sc2I2Se2,1.393,-0.578,-1.971,5.098
MoOSe,0.752,-0.169,-0.921,4.903
WSeTe,1.037,1.2,0.164,4.167
Au2Cl2Te4,0.981,-1.928,-2.909,4.997
Cu2I2Te4,0.836,-1.372,-2.207,4.697
Ru2P2Se6,0.1,-0.887,-0.987,4.802
Cr2Mo2Te8,0.556,0.422,-0.134,4.477
Ti2Zr2Te8,0.117,-1.025,-1.142,5.213
HfNiCl6,1.62,-2.603,-4.223,6.298
Au2Br2,1.985,-1.857,-3.842,4.365
Pb4O4,2.614,-0.701,-3.315,3.595
Sn2O2,3.02,-0.743,-3.764,3.888
V4O10,2.033,-5.376,-7.41,7.752
Hf2I2N2,0.545,-0.6,-1.145,4.343
Ag2Br2,1.724,-1.594,-3.318,5.375
FeGa2S4,0.862,-0.364,-1.226,4.041
Ir2Nb2Te8,0.047,-2.052,-2.099,4.466
Li4CO4,3.421,-0.125,-3.546,2.618
Mn2P2Se6,0.1,-2.792,-2.892,4.895
Nb3Br7S,0.81,-2.764,-3.575,5.055
Nb4Si2Te8,0.521,-1.584,-2.105,4.351
Pd2I4O12,1.034,-2.955,-3.989,5.27
Re2ZnO8,3.966,-3.283,-7.249,6.915
Y2Cl2O2,4.395,-0.703,-5.098,5.754
AgGaP2Se6,0.91,-2.496,-3.406,4.974
Bi2Cd2Cl2O4,2.845,-2.313,-5.159,5.516
Cr2Cu2P4S12,1.078,-2.777,-3.855,5.326
